name,artists,popularity,album_name,danceability,energy,liveness,valence,tempo,speechiness,title
luther (with sza),"Kendrick Lamar, SZA",92,GNX,0.2828322953333358,-0.5238909968810943,0.5213217675487284,0.11310575251828792,0.5285444459566443,0.25780797524889504,"luther (with sza) by Kendrick Lamar, SZA"
Sapphire,Ed Sheeran,81,Sapphire,-0.25335833291090043,0.3417121080836905,1.249203372035613,-0.7028787764244235,-0.9941175701167279,-0.373484035381703,Sapphire by Ed Sheeran
The Night We Met,Lord Huron,82,Strange Trails,-1.6008900433668107,-1.6999172843160084,3.396086488299961,-1.9985904734818065,1.8074218882539599,-0.5909880054309007,The Night We Met by Lord Huron
Lose Control,Teddy Swims,92,I've Tried Everything But Therapy (Part 1),-0.7472181220832232,-0.3507703758881372,-0.5374151117049225,-1.384360361035919,1.3045188184989074,-0.7108804377019218,Lose Control by Teddy Swims
All The Stars (with SZA),"Kendrick Lamar, SZA",94,Black Panther The Album Music From And Inspired By,0.19817061718950893,-0.1776497548951801,-0.6212317813125031,0.0279205544418514,-0.9314007659102497,-0.4328997540292887,"All The Stars (with SZA) by Kendrick Lamar, SZA"
"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",94,The Idol Episode 4 (Music from the HBO Original Series),-2.8425946561429374,-0.13586201879343182,-0.19185515805963368,-1.6174987978766937,-1.3547303410001648,-0.5994759652376986,"One Of The Girls (with JENNIE, Lily Rose Depp) by The Weeknd, JENNIE, Lily-Rose Depp"
I Wanna Be Yours,Arctic Monkeys,94,AM,-1.431566687079157,-1.4670998974634113,-0.5859405520040482,-0.32178710081931106,-1.9673789648127407,-0.7968210307457512,I Wanna Be Yours by Arctic Monkeys
"Good Luck, Babe!",Chappell Roan,94,"Good Luck, Babe!",0.23344631641610347,-0.482103260779346,-0.6543173087891797,1.0501429313590944,-0.22561538599206218,-0.6907215331607768,"Good Luck, Babe! by Chappell Roan"
Mangu,"Fourtwnty, Charita Utami",87,Nalar,-0.9377068979068338,-2.195400440951023,-0.7182826619107545,-1.5861147775327433,-1.028220496401786,-0.8159189403110465,"Mangu by Fourtwnty, Charita Utami"
Yellow,Coldplay,93,Parachutes,-1.6784965816653188,-0.010498810488187035,0.418389015399068,-1.1915728074945093,1.7808973900322478,-0.7702961563495075,Yellow by Coldplay
Marlboro Rojo,Fuerza Regida,91,111XPANTIA,0.7484715251243838,-0.10601363586361164,1.050690207175554,1.668856475282689,-0.28638446335983014,-0.6981484979917248,Marlboro Rojo by Fuerza Regida
Messy,Lola Young,89,This Wasn't Meant For You Anyway,0.9248500212573565,-0.6014967924986261,-0.40507300179821615,0.4314293874354999,-0.4282143904332038,-0.6705626286196315,Messy by Lola Young
Sweater Weather,The Neighbourhood,93,I Love You.,-0.3874059899719597,0.8610739710625618,-0.5594721300227068,-0.6849450505135947,0.03435302715291567,-0.7119414326777717,Sweater Weather by The Neighbourhood
BAILE INoLVIDABLE,Bad Bunny,96,DeBÃ TiRAR MÃ¡S FOToS,-3.519888081293552,-3.9366357075450122,-0.4785963961908307,-1.4874792850231848,-0.13088503520023334,-0.4159238344156928,BAILE INoLVIDABLE by Bad Bunny
Timeless (feat Playboi Carti),"The Weeknd, Playboi Carti",95,Hurry Up Tomorrow,0.7131958258977893,0.6700443203117126,-0.28743557077003257,0.220708107983261,-0.10921214746767303,-0.5740120858173048,"Timeless (feat Playboi Carti) by The Weeknd, Playboi Carti"
like JENNIE,JENNIE,95,Ruby,1.0165668392465024,0.47901466956086336,-0.6638753500602196,1.1846458756903104,0.2456282693301315,-0.4201678143190918,like JENNIE by JENNIE
party 4 u,Charli xcx,93,how i'm feeling now,-0.6202256048674837,-0.8402838559371876,3.5137239193281444,-1.3709100666027974,-1.5450763729650547,-0.014867733544489342,party 4 u by Charli xcx
What I Want (feat. Tate McRae),"Morgan Wallen, Tate McRae",92,Iâ€™m The Problem,-0.06992469693260883,0.21634889977844574,-0.21391217637741808,-0.2500521971759957,-0.2509004216800494,-0.7904550608906526,"What I Want (feat. Tate McRae) by Morgan Wallen, Tate McRae"
